NOME,CATEGORIA,GRUPO,ESFERA,CRIAÇÃO,ATO LEGAL,ULTIMA ATUALIZAÇÃO,CODUC,ÓRGÃO GESTOR
ÁREA DE PROTEÇÃO AMBIENTAL DO PECEM,Área de Proteção Ambiental,US,estadual,"1998",Decreto nº 24.957 de 08/06/1998,16/11/2010,0000.23.0950,Secretaria do Meio Ambiente do Ceará
ÁREA DE PROTEÇÃO AMBIENTAL DE TAMBABA,Área de Proteção Ambiental,US,estadual,"2002",Decreto nº 22882 de 26/03/2002,31/03/2014,0000.25.0490,Superintendência de Administração do Meio Ambiente da Paraíba
APA MATA DO IGUATEMÍ,Área de Proteção Ambiental,US,estadual,"1993",Lei ordinária nº 8284 de 02/04/1993,09/11/2017,0000.35.1705,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
APA PARQUE E FAZENDA DO CARMO,Área de Proteção Ambiental,US,estadual,"1989",Lei ordinária nº 6409 de 05/04/1989,15/02/2018,0000.35.1707,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
ÁREA DE PROTEÇÃO AMBIENTAL ALDEIA-BEBERIBE,Área de Proteção Ambiental,US,estadual,"2010",Decreto nº 34.692 de 17/03/2010,19/01/2016,0000.26.1928,Agência Estadual do Meio Ambiente de Pernambuco
APA RIO BATALHA,Área de Proteção Ambiental,US,estadual,"2001",Lei ordinária nº 10773 de 01/03/2001,18/09/2015,0000.35.1712,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
ÁREA DE PROTEÇÃO AMBIENTAL DE ENGENHEIRO PASSOS APAEP,Área de Proteção Ambiental,US,municipal,"1997",Lei ordinária nº 2063 de 22/12/1997,18/11/2015,0420.33.3165,Agência do Meio Ambiente do Município de Resende - RJ
ÁREA DE PROTEÇÃO AMBIENTAL DA LAGOA DA JIJOCA,Área de Proteção Ambiental,US,estadual,"2000",Decreto nº 25.975 de 10/08/2000,15/02/2016,0000.23.0962,Secretaria do Meio Ambiente do Ceará
ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE CAMAMU,Área de Proteção Ambiental,US,estadual,"2002",Decreto nº 8175 de 28/02/2002,13/11/2014,0000.29.0328,Secretaria do Meio Ambiente da Bahia
ÁREA DE PROTEÇÃO AMBIENTAL DO SALTO MAGESSI,Área de Proteção Ambiental,US,estadual,"2002",Lei complementar nº 7.871 de 20/12/2002,06/05/2010,0000.51.0478,Secretaria de Estado do Meio Ambiente de Mato Grosso
ÁREA DE PROTEçãO AMBIENTAL DO SACOPã,Área de Proteção Ambiental,US,municipal,"1986",Decreto nº 6231 de 30/10/1986,15/03/2011,0455.33.1820,Secretaria Municipal de Conservação e Meio Ambiente do Rio de Janeiro - RJ
ÁREA DE PROTEÇÃO AMBIENTAL DO PAU BRASIL,Área de Proteção Ambiental,US,estadual,"2002",Decreto nº 31.346 de 06/06/2002,01/08/2012,0000.33.0724,Instituto Estadual do Ambiente do Rio de Janeiro
ÁREA DE PROTEÇÃO AMBIENTAL NHAMUNDÁ,Área de Proteção Ambiental,US,estadual,"1990",Decreto nº 12836 de 09/03/1990,15/02/2016,0000.13.0997,Secretaria de Estado do Meio Ambiente do Amazonas
APA SAPUCAí MIRIM,Área de Proteção Ambiental,US,estadual,"1998",Decreto nº 43285 de 03/07/1998,18/09/2015,0000.35.1715,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
ÁREA DE PROTEçãO AMBIENTAL RIO DO COLéGIO,Área de Proteção Ambiental,US,municipal,"2013",Decreto nº 2.988 de 29/10/2013,02/12/2013,0480.33.2912,Secretaria de Desenvolvimento Ambiental de São Fidélis - RJ
ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DA ESCARPA DEVONIANA,Área de Proteção Ambiental,US,estadual,"1992",Decreto nº 1.231 de 30/03/1992,18/03/2016,0000.41.0498,Instituto Ambiental do Paraná
ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL,Área de Proteção Ambiental,US,federal,"1982",Decreto nº 87561 de 13/09/1982,23/04/2010,0000.00.1521,Instituto Chico Mendes de Conservação da Biodiversidade
APA DO BANHADO,Área de Proteção Ambiental,US,estadual,"2002",Lei ordinária nº 11262 de 08/11/2002,17/10/2017,0000.35.1694,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
ÁREA DE PROTEÇÃO AMBIENTAL DE GUADALUPE,Área de Proteção Ambiental,US,estadual,"1997",Decreto nº 19635 de 13/03/1997,30/11/2015,0000.26.0967,Agência Estadual do Meio Ambiente de Pernambuco
APA VáRZEA DO RIO TIETê,Área de Proteção Ambiental,US,estadual,"1987",Lei ordinária nº 5598 de 06/01/1987,17/10/2017,0000.35.1720,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
ÁREA DE PROTEÇÃO AMBIENTAL HARAS SÃO BERNARDO,Área de Proteção Ambiental,US,estadual,"1987",Lei ordinária nº 5745 de 11/07/1987,24/09/2018,0000.35.3742,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
ÁREA DE PROTEÇÃO AMBIENTAL  TRIZIDELA DE USO SUSTENTÁVEL,Área de Proteção Ambiental,US,municipal,"2016",Decreto nº 4091 de 22/08/2016,27/09/2017,0330.21.3485,"Secretaria Municipal de Meio Ambiente, Finanças e Planejamento de Codó - MA"
ÁREA DE PRESERVAçãO AMBIENTAL DO CóRREGO DA LAGOA,Área de Proteção Ambiental,US,municipal,"2017",Decreto nº 242/2017 de 10/10/2017,29/11/2017,1550.52.3594,Prefeitura Municipal de Ouvidor - GO
ÁREA DE PROTEÇÃO AMBIENTAL DO IRAÍ,Área de Proteção Ambiental,US,estadual,"1996",Decreto nº 1.753 de 06/05/1996,18/03/2016,0000.41.0501,Instituto Ambiental do Paraná
AREA DE PROTEÇÃO AMBIENTAL TARUMA/PONTA NEGRA,Área de Proteção Ambiental,US,municipal,"2008",Decreto nº 9556 de 24/04/2008,30/08/2012,0260.13.2738,Secretaria Municipal de Meio Ambiente e Sustentabilidade de Manaus - AM
AREA DE PROTEÇÃO AMBIENTAL DA LAGOA VERDE,Área de Proteção Ambiental,US,municipal,"2005",Lei ordinária nº 6084 de 22/04/2005,01/10/2009,1560.43.1757,Secretaria Municipal do Meio Ambiente do Rio Grande - RS
ÁREA DE PROTEçãO AMBIENTAL DA PRAIA DE PONTA GROSSA,Área de Proteção Ambiental,US,municipal,"1998",Lei ordinária nº 262 de 08/04/1998,21/01/2015,0535.23.3034,Secretaria de Desenvolvimento e Meio Ambiente de Icapuí - CE
ÁREA DE PROTEçãO AMBIENTAL DA LAGOA GRANDE,Área de Proteção Ambiental,US,municipal,"2006",Decreto nº 046 de 20/06/2006,27/09/2013,0520.32.2920,Prefeitura Municipal de Vila Velha - ES
APA SILVEIRAS,Área de Proteção Ambiental,US,estadual,"1984",Lei ordinária nº 4100 de 20/06/1984,17/10/2017,0000.35.1717,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
APA DAS TABEBUIAS,Área de Proteção Ambiental,US,municipal,"1999",Decreto nº 18199 de 09/12/1999,15/03/2011,0455.33.1787,Secretaria Municipal de Conservação e Meio Ambiente do Rio de Janeiro - RJ
ÁREA DE PROTEÇÃO AMBIENTAL MUNICIPAL DA LAGOA JACUNÉM,Área de Proteção Ambiental,US,municipal,"1998",Lei ordinária nº 2.135 de 09/12/1998,10/04/2012,0500.32.2582,Secretaria Municipal de Meio Ambiente do Município de Serra - ES
ÁREA DE PROTEçãO AMBIENTAL DE MASSAMBABA,Área de Proteção Ambiental,US,estadual,"1986",Decreto nº 9529 de 16/12/1986,01/03/2013,0000.33.1514,Instituto Estadual do Ambiente do Rio de Janeiro
ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA HIDROGRÁFICA DO RIO MACHADO,Área de Proteção Ambiental,US,estadual,"1999",Lei ordinária nº 13373 de 01/12/1999,08/09/2009,0000.31.1771,Instituto Estadual de Florestas de Minas Gerais
ÁREA DE PROTEçãO AMBIENTAL DA SERRA DA BOLíVIA,Área de Proteção Ambiental,US,municipal,"2013",Decreto nº 524 de 02/08/2013,08/05/2014,0015.33.3002,Secretaria Municipal do Ambiente de Aperibé - RJ
AREA DE PROTEçãO AMBIENTAL DE CAMPINAS,Área de Proteção Ambiental,US,municipal,"2001",Lei ordinária nº 10.850 de 08/06/2001,04/12/2007,0950.35.1570,Secretaria Municipal de Meio Ambiente - Prefeitura Municipal de Campinas
ÁREA DE PROTEÇÃO AMBIENTAL MUNICIPAL DAS SERRAS DE MARICÁ,Área de Proteção Ambiental,US,municipal,"2011",Lei ordinária nº 2368 de 30/05/2011,10/04/2018,0270.33.3503,Subsecretaria de Meio Ambiente de Maricá - RJ
ÁREA DE PROTEÇÃO AMBIENTAL BEMPOSTA,Área de Proteção Ambiental,US,municipal,"2012",Decreto nº 4599 de 15/02/2012,17/09/2018,0600.33.3747,Secretaria Municipal de Meio Ambiente e Agricultura de Três Rios - RJ
ÁREA DE PROTEçãO AMBIENTAL ESTADUAL DELTA DO JACUí,Área de Proteção Ambiental,US,estadual,"2005",Lei ordinária nº 12371 de 14/11/2005,12/09/2018,0000.43.1987,Secretaria do Ambiente e Desenvolvimento Sustentável do Rio Grande do Sul - RS
APA CAJAMAR,Área de Proteção Ambiental,US,estadual,"1984",Lei ordinária nº 4055 de 05/06/1984,17/10/2017,0000.35.1696,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
APA DAS BRISAS,Área de Proteção Ambiental,US,municipal,"1992",Lei ordinária nº 1918 de 09/10/1992,15/03/2011,0455.33.1767,Secretaria Municipal de Conservação e Meio Ambiente do Rio de Janeiro - RJ
ÁREA DE PROTEÇÃO AMBIENTAL MUNICÍPAL MANGUEZAL SUL DA SERRA,Área de Proteção Ambiental,US,municipal,"2012",Lei ordinária nº 3895 de 19/06/2012,27/09/2013,0500.32.2728,Secretaria Municipal de Meio Ambiente do Município de Serra - ES
APA DOS MORROS DA BABILôNIA E DE SãO JOãO,Área de Proteção Ambiental,US,municipal,"1996",Decreto nº 14874 de 11/06/1996,15/03/2011,0455.33.1798,Secretaria Municipal de Conservação e Meio Ambiente do Rio de Janeiro - RJ
ÁREA DE PROTEÇÃO AMBIENTAL COSTA DOS CORAIS,Área de Proteção Ambiental,US,federal,"1997",Decreto nº s/n de 23/10/1997,27/09/2007,0000.00.0009,Instituto Chico Mendes de Conservação da Biodiversidade
ÁREA DE PROTEÇÃO AMBIENTAL DO ENCANTADO,Área de Proteção Ambiental,US,estadual,"2003",Lei ordinária nº 14.386 de 13/01/2003,06/08/2009,0000.52.1755,Secretaria Estadual do Meio Ambiente e dos Recursos Hídricos de Goiás
ÀREA DE PROTEÇÃO AMBIENTAL TINGUAZINHO,Área de Proteção Ambiental,US,municipal,"2004",Lei complementar nº 3586 de 09/07/2004,05/09/2018,0350.33.1876,"Secretaria Municipal de Meio Ambiente, Agricultura, Desenvolvimento Econômico e Turismo de Nova Iguaçu - RJ"
ÁREA DE PROTEÇÃO AMBIENTAL DA ILHA DO COMBU,Área de Proteção Ambiental,US,estadual,"1997",Lei ordinária nº 6.083 de 17/11/1997,25/02/2016,0000.15.1027,Instituto de Desenvolvimento Florestal e da Biodiversidade do Pará
ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE SANTA ISABEL,Área de Proteção Ambiental,US,estadual,"2002",Decreto nº 1.558 de 06/09/2002,24/07/2007,0000.17.1493,Instituto Natureza do Tocantins
ÁREA DE PROTEÇÃO AMBIENTAL DE SANTA CRUZ,Área de Proteção Ambiental,US,estadual,"2008",Decreto nº 32.488 de 17/10/2008,19/01/2016,0000.26.1929,Agência Estadual do Meio Ambiente de Pernambuco
ÁREA DE PROTEÇÃO AMBIENTAL DO RIO PACOTI,Área de Proteção Ambiental,US,estadual,"2000",Decreto nº 25778 de 17/02/2000,15/02/2016,0000.23.0959,Secretaria do Meio Ambiente do Ceará
ÁREA DE PROTEÇÃO AMBIENTAL DA MARITUBA DO PEIXE,Área de Proteção Ambiental,US,estadual,"1988",Decreto nº 35858 de 07/03/1988,03/10/2011,0000.27.0921,Instituto do Meio Ambiente de Alagoas
ÁREA DE PROTEÇÃO AMBIENTAL FAZENDA CAPITÃO EDUARDO,Área de Proteção Ambiental,US,estadual,"2001",Lei ordinária nº 13958 de 27/07/2001,25/06/2014,0000.31.0893,Instituto Estadual de Florestas de Minas Gerais
ÁREA DE PROTEÇÃO AMBIENTAL DUNAS E VEREDAS DO BAIXO MÉDIO SÃO FRANCISCO,Área de Proteção Ambiental,US,estadual,"1997",Decreto nº 6547 de 20/07/1997,19/07/2012,0000.29.0317,Secretaria do Meio Ambiente da Bahia
ÁREA DE PROTEÇÃO AMBIENTAL DA PEDRA LISA,Área de Proteção Ambiental,US,municipal,"2009",Lei ordinária nº 1.189 de 21/12/2009,27/03/2017,0227.33.2849,Secretaria Municipal do Ambiente e Desenvolvimento Sustentável de Japeri - RJ
APA DA PRAINHA,Área de Proteção Ambiental,US,municipal,"1990",Lei ordinária nº 1534 de 15/01/1990,15/03/2011,0455.33.1796,Secretaria Municipal de Conservação e Meio Ambiente do Rio de Janeiro - RJ
ÁREA DE PROTEÇÃO AMBIENTAL BALEIA SAHY,Área de Proteção Ambiental,US,municipal,"2013",Lei ordinária nº 2257/2013 de 23/08/2013,16/04/2018,5070.35.3577,Prefeitura Municipal de São Sebastião - SP
ÁREA DE PROTEÇÃO AMBIENTAL CAVERNAS DO PERUAÇU,Área de Proteção Ambiental,US,federal,"1989",Decreto nº 98182 de 28/09/1989,23/04/2010,0000.00.0002,Instituto Chico Mendes de Conservação da Biodiversidade
APA DO MORRO DOS CABRITOS,Área de Proteção Ambiental,US,municipal,"1992",Lei ordinária nº 1912 de 01/10/1992,15/03/2011,0455.33.1816,Secretaria Municipal de Conservação e Meio Ambiente do Rio de Janeiro - RJ
ÁREA DE PROTEÇÃO AMBIENTAL DE PRESIDENTE FIGUEIREDO - CAVERNA DO MOROAGA,Área de Proteção Ambiental,US,estadual,"1990",Decreto nº 12836 de 09/03/1990,28/05/2010,0000.13.0993,Secretaria de Estado do Meio Ambiente do Amazonas
APA PLANALTO DO TURVO,Área de Proteção Ambiental,US,estadual,"2008",Lei ordinária nº 12810 de 21/02/2008,17/09/2015,0000.35.1709,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
APA DA FAZENDA DA TAQUARA,Área de Proteção Ambiental,US,municipal,"2002",Decreto nº 21528 de 10/06/2002,15/03/2011,0455.33.1783,Secretaria Municipal de Conservação e Meio Ambiente do Rio de Janeiro - RJ
AREA DE PROTEçãO  AMBIENTAL - PEDREGULHO,Área de Proteção Ambiental,US,municipal,"2013",Lei ordinária nº 1610 de 13/12/2013,07/10/2016,2390.35.3434,Secretaria Municipal de Meio Ambiente de Itu - SP
ÁREA DE PROTEÇÃO AMBIENTAL DE MANGARATIBA,Área de Proteção Ambiental,US,estadual,"1987",Decreto nº 9.802 de 12/03/1987,01/08/2012,0000.33.0726,Instituto Estadual do Ambiente do Rio de Janeiro
ÁREA DE PROTEÇÃO AMBIENTAL DA BICA DO IPÚ,Área de Proteção Ambiental,US,estadual,"1999",Decreto nº 25.354 de 27/01/1999,29/04/2016,0000.23.0954,Secretaria do Meio Ambiente do Ceará
ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA,Área de Proteção Ambiental,US,federal,"1985",Decreto nº 91304 de 06/06/1985,12/04/2010,0000.00.0011,Instituto Chico Mendes de Conservação da Biodiversidade
ÁREA DE PROTEÇÃO AMBIENTAL DO LAGO DE TUCURUI,Área de Proteção Ambiental,US,estadual,"2002",Lei ordinária nº 6.451 de 11/04/2002,19/02/2016,0000.15.1029,Instituto de Desenvolvimento Florestal e da Biodiversidade do Pará
ÁREA DE PROTEçãO AMBIENTAL ALTO TABOãO,Área de Proteção Ambiental,US,municipal,"1998",Lei ordinária nº 337 de 02/01/1998,24/02/2014,2420.31.2906,"Secretaria Municipal de Agricultura, Meio Ambiente e Defesa Civil de Espera Feliz - MG"
AREA DE PROTECAO AMBIENTAL XERIUINI,Área de Proteção Ambiental,US,municipal,"1999",Decreto nº 25 de 08/12/1999,23/06/2017,0020.14.2976,Prefeitura Municipal de Caracaraí - RR
ÁREA DE PROTEÇÃO AMBIENTAL CACHOEIRA DAS ANDORINHAS,Área de Proteção Ambiental,US,estadual,"1989",Decreto nº 30264 de 17/10/1989,12/03/2013,0000.31.0399,Instituto Estadual de Florestas de Minas Gerais
APA QUILOMBOS DO MéDIO RIBEIRA,Área de Proteção Ambiental,US,estadual,"2008",Lei ordinária nº 12810 de 21/02/2008,17/10/2017,0000.35.1710,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
ÁREA DE PROTEÇÃO AMBIENTAL DE SIRINHAÉM,Área de Proteção Ambiental,US,estadual,"1998",Decreto nº 21229 de 28/12/1998,29/04/2011,0000.26.0975,Agência Estadual do Meio Ambiente de Pernambuco
APA DA ORLA MARíTIMA,Área de Proteção Ambiental,US,municipal,"1988",Lei ordinária nº 1272 de 18/07/1988,15/03/2011,0455.33.1793,Secretaria Municipal de Conservação e Meio Ambiente do Rio de Janeiro - RJ
ÁREA DE PROTEÇÃO AMBIENTAL CHAPADA DO ARARIPE,Área de Proteção Ambiental,US,federal,"1997",Decreto nº sn de 04/08/1997,27/04/2011,0000.00.0008,Instituto Chico Mendes de Conservação da Biodiversidade
ÁREA DE PROTEÇÃO AMBIENTAL IBIRAPUITÃ,Área de Proteção Ambiental,US,federal,"1992",Decreto nº 529 de 20/05/1992,24/04/2008,0000.00.0021,Instituto Chico Mendes de Conservação da Biodiversidade
ÁREA DE PROTEÇÃO AMBIENTAL DA REGIÃO METROLPOLITANA DE BELÉM,Área de Proteção Ambiental,US,estadual,"1993",Decreto nº 1.551 de 04/05/1993,23/02/2016,0000.15.1025,Instituto de Desenvolvimento Florestal e da Biodiversidade do Pará
APA DO MORRO DO VALQUEIRE,Área de Proteção Ambiental,US,municipal,"2001",Lei ordinária nº 3313 de 05/12/2001,15/03/2011,0455.33.1782,Secretaria Municipal de Conservação e Meio Ambiente do Rio de Janeiro - RJ
ÁREA DE PROTEçãO AMBIENTAL DO ARQUIPéLAGO DE TRINDADE E MARTIM VAZ,Área de Proteção Ambiental,US,federal,"2018",Decreto nº 9312 de 20/03/2018,02/04/2018,0000.00.3633,Instituto Chico Mendes de Conservação da Biodiversidade
ÁREA DE PROTEçãO AMBIENTAL DE SEPETIBA II,Área de Proteção Ambiental,US,estadual,"2004",Decreto nº 36812 de 28/12/2004,02/08/2012,0000.33.1837,Instituto Estadual do Ambiente do Rio de Janeiro
ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO BARBADO,Área de Proteção Ambiental,US,estadual,"1993",Decreto nº 2.183 de 08/06/1993,23/07/2012,0000.29.0307,Secretaria do Meio Ambiente da Bahia
Área de Proteção Ambiental Jalapão,Área de Proteção Ambiental,US,estadual,"2000",Lei ordinária nº 1.172 de 08/08/2000,27/07/2007,0000.17.1499,Instituto Natureza do Tocantins
ÁREA DE PROTEÇÃO AMBIENTAL NASCENTES DO RIO PARAGUAI,Área de Proteção Ambiental,US,estadual,"2006",Decreto nº 7.596 de 17/05/2006,06/05/2010,0000.51.1896,Secretaria de Estado do Meio Ambiente de Mato Grosso
ÁREA DE PROTEÇÃO AMBIENTAL MEANDROS DO ARAGUAIA,Área de Proteção Ambiental,US,federal,"1998",Decreto nº S/N de 02/10/1998,03/12/2007,0000.00.0024,Instituto Chico Mendes de Conservação da Biodiversidade
ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO DESCOBERTO,Área de Proteção Ambiental,US,federal,"1983",Decreto nº 88940 de 07/11/1983,25/03/2010,0000.00.0003,Instituto Chico Mendes de Conservação da Biodiversidade
ÁREA DE PROTEÇÃO AMBIENTAL PONTA DA BALEIA / ABROLHOS,Área de Proteção Ambiental,US,estadual,"1993",Decreto nº 2.218 de 15/06/1993,23/07/2012,0000.29.0306,Secretaria do Meio Ambiente da Bahia
ÁREA DE PROTEÇÃO AMBIENTAL DO CARIRI,Área de Proteção Ambiental,US,estadual,"2004",Decreto nº 25083 de 08/06/2004,30/08/2012,0000.25.0902,Superintendência de Administração do Meio Ambiente da Paraíba
ÁREA DE PROTEÇÃO AMBIENTAL PLATAFORMA CONTINENTAL DO LITORAL NORTE,Área de Proteção Ambiental,US,estadual,"2003",Decreto nº 8.553 de 06/06/2003,19/07/2012,0000.29.0302,Secretaria do Meio Ambiente da Bahia
ÁREA DE PROTEÇÃO AMBIENTAL DOS PIRENEUS,Área de Proteção Ambiental,US,estadual,"2000",Decreto nº 5.174 de 22/02/2000,06/08/2009,0000.52.1750,Secretaria Estadual do Meio Ambiente e dos Recursos Hídricos de Goiás
"APA CORUMBATAí, BOTUCATU E TEJUPá PERIMETRO CORUMBATAí",Área de Proteção Ambiental,US,estadual,"1983",Decreto nº 20960 de 08/06/1983,13/07/2016,0000.35.1700,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
ÁREA DE PROTEçãO AMBIENTAL SURUí,Área de Proteção Ambiental,US,municipal,"2007",Decreto nº 2300/2007 de 01/06/2007,21/12/2012,0250.33.2801,Secretaria Municipal de Turismo e Meio Ambiente de Magé - RJ
APA CAMPOS DO JORDÃO,Área de Proteção Ambiental,US,estadual,"1984",Lei ordinária nº 4105 de 26/06/1984,18/10/2017,0000.35.1698,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
ÁREA DE PROTEÇÃO AMBIENTAL DOS CAMPOS DE MANICORÉ,Área de Proteção Ambiental,US,federal,e 2016 de 11/05/2016,Decreto nº 11 de maio de 2016 de 11/05/2016,18/05/2016,0000.00.3407,Instituto Chico Mendes de Conservação da Biodiversidade
"ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE SÃO SALVADOR DO TOCANTINS, PARANÃ E PALMEIRÓPOLIS",Área de Proteção Ambiental,US,estadual,"2002",Decreto nº 1.559 de 06/09/2002,23/07/2007,0000.17.1492,Instituto Natureza do Tocantins
APA DO MORRO DO SILVéRIO,Área de Proteção Ambiental,US,municipal,"1999",Lei ordinária nº 2836 de 14/07/1999,15/03/2011,0455.33.1766,Secretaria Municipal de Conservação e Meio Ambiente do Rio de Janeiro - RJ
ÁREA DE PROTEÇÃO AMBIENTAL DO RIO VERDE,Área de Proteção Ambiental,US,estadual,"2000",Decreto nº 2.375 de 31/07/2000,18/03/2016,0000.41.0506,Instituto Ambiental do Paraná
ÁREA DE PROTEÇÃO AMBIENTAL DO PARQUE MUNICIPAL ECOLÓGICO DE MARAPENDI,Área de Proteção Ambiental,US,municipal,"1991",Decreto nº 10368 de 16/08/1991,05/05/2017,0455.33.1788,Secretaria Municipal de Conservação e Meio Ambiente do Rio de Janeiro - RJ
ÁREA DE PROTEÇÃO AMBIENTAL DO PICO DO GOIAPABA-AÇU,Área de Proteção Ambiental,US,estadual,"1994",Decreto nº 3.796-N de 28/12/1994,27/10/2011,0000.32.0334,Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo
ÁREA DE PROTEÇÃO AMBIENTAL ÁGUAS VERTENTES,Área de Proteção Ambiental,US,estadual,"1998",Decreto nº 39399 de 22/01/1998,29/08/2012,0000.31.0405,Instituto Estadual de Florestas de Minas Gerais
APA IBITINGA,Área de Proteção Ambiental,US,estadual,"1987",Lei ordinária nº 5536 de 20/01/1987,15/02/2018,0000.35.1701,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
ÁREA DE PROTEçãO AMBIENTAL DAS REENTRâNCIAS MARANHENSES,Área de Proteção Ambiental,US,estadual,"1991",Decreto nº 11.901 de 11/06/1991,03/03/2011,0000.21.1885,Secretaria de Estado de Meio Ambiente e Recursos Naturais do Maranhão
ÁREA DE PROTEÇÃO AMBIENTAL DE PRAIA MOLE,Área de Proteção Ambiental,US,estadual,"1994",Decreto nº 3802-N de 30/12/1994,17/06/2016,0000.32.0335,Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo
ÁREA DE PROTEÇÃO AMBIENTAL MUNICIPAL TARTARUGAS,Área de Proteção Ambiental,US,municipal,"2011",Decreto nº 3693 de 23/11/2011,24/07/2012,0040.32.2575,Secretaria de Meio Ambiente de Anchieta - ES
ÁREA DE PROTEçãO AMBIENTAL PAISAGEM CARIOCA,Área de Proteção Ambiental,US,municipal,"2013",Decreto nº 37.486 de 06/08/2013,23/01/2017,0455.33.2903,Secretaria Municipal de Conservação e Meio Ambiente do Rio de Janeiro - RJ
