NOMEUC;CODUC;PROCESSO;EMPREENDIMENTO;EMPREENDEDOR;DESTINACAO;APLICACAO;ACAODEST;ACAOAPL;REUNIAO;TIPO;DATA
PARQUE NACIONAL DOS LENÇOIS MARANHENSES;0000.00.0180;02001.004292/2015-60;Etapa 2: FPSO Cidade de Itaguaí, Desenvolvimento de Produção no Campo de Lula, Área de Iracema Norte;PETROBRAS;3000000;;2;;48;O;06/30/16
PARQUE NACIONAL DOS LENÇOIS MARANHENSES;0000.00.0180;02001.004292/2015-60;Etapa 2: FPSO Cidade de Itaguaí, Desenvolvimento de Produção no Campo de Lula, Área de Iracema Norte;PETROBRAS;500000;;2;;48;O;06/30/16
PARQUE NACIONAL DOS LENÇOIS MARANHENSES;0000.00.0180;02001.001092/2016-36;ATIVID PROD E ESCOAMENTO PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS-ETAPA 2 FPSO SAQUAREMA-LULA CENTRAL;PETROBRAS;3000000;;1;;48;O;06/30/16
PARQUE NACIONAL DOS LENÇOIS MARANHENSES;0000.00.0180;02001.001091/2016-91;ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO;PETROBRAS;2500000;;2;;48;O;06/30/16
PARQUE NACIONAL MAR. DE FERNANDO DE NORONHA;0000.00.0186;02001.001091/2016-91;ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO;PETROBRAS;2500000;;2;;48;O;06/30/16
RESERVA BIOLÓGICA DE COMBOIOS;0000.00.0195;02001.001091/2016-91;ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO;PETROBRAS;200000;;3;;48;O;06/30/16
RESERVA BIOLÓGICA DE COMBOIOS;0000.00.0195;02001.001091/2016-91;ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO;PETROBRAS;;200000;;3;48;O;06/30/16
RESERVA BIOLÓGICA GUARIBAS;0000.00.0196;02001.001091/2016-91;ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO;PETROBRAS;200000;;3;;48;O;06/30/16
RESERVA BIOLÓGICA GUARIBAS;0000.00.0196;02001.001091/2016-91;ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO;PETROBRAS;;200000;;3;48;O;06/30/16
RESERVA BIOLÓGICA DE SALTINHO;0000.00.0198;02001.001091/2016-91;ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO;PETROBRAS;200000;;3;;48;O;06/30/16
RESERVA BIOLÓGICA DE SALTINHO;0000.00.0198;02001.001091/2016-91;ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO;PETROBRAS;;200000;;3;48;O;06/30/16
RESERVA BIOLÓGICA DE SOORETAMA;0000.00.0201;02001.001091/2016-91;ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO;PETROBRAS;400000;;3;;48;O;06/30/16
RESERVA BIOLÓGICA DE SOORETAMA;0000.00.0201;02001.001091/2016-91;ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO;PETROBRAS;;400000;;3;48;O;06/30/16
RESERVA BIOLÓGICA DE UNA;0000.00.0202;02001.001091/2016-91;ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO;PETROBRAS;400000;;2;;48;O;06/30/16
RESERVA BIOLÓGICA DO CÓRREGO GRANDE;0000.00.0205;02001.001091/2016-91;ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO;PETROBRAS;200000;;3;;48;O;06/30/16
RESERVA BIOLÓGICA DO CÓRREGO GRANDE;0000.00.0205;02001.001091/2016-91;ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO;PETROBRAS;;200000;;3;48;O;06/30/16
RESERVA BIOLÓGICA DO LAGO PIRATUBA;0000.00.0209;02001.001091/2016-91;ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO;PETROBRAS;400000;;3;;48;O;06/30/16
RESERVA BIOLÓGICA DO LAGO PIRATUBA;0000.00.0209;02001.001091/2016-91;ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO;PETROBRAS;;400000;;3;48;O;06/30/16
RESERVA BIOLÓGICA DO TINGUÁ;0000.00.0212;02001.001091/2016-91;ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO;PETROBRAS;200000;;3;;48;O;06/30/16
RESERVA BIOLÓGICA DO TINGUÁ;0000.00.0212;02001.001092/2016-36;ATIVID PROD E ESCOAMENTO PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS-ETAPA 2 FPSO SAQUAREMA-LULA CENTRAL;PETROBRAS;3000000;;1;;48;O;06/30/16
RESERVA BIOLÓGICA DO TINGUÁ;0000.00.0212;02001.001091/2016-91;ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO;PETROBRAS;;200000;;3;48;O;06/30/16
RESERVA BIOLÓGICA DO TINGUÁ;0000.00.0212;02001.001092/2016-36;ATIVID PROD E ESCOAMENTO PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS-ETAPA 2 FPSO SAQUAREMA-LULA CENTRAL;PETROBRAS;;3000000;;1;48;O;06/30/16
RESERVA BIOLÓGICA DE POÇO DAS ANTAS;0000.00.0215;02001.001091/2016-91;ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO;PETROBRAS;350000;;3;;48;O;06/30/16
RESERVA BIOLÓGICA DE POÇO DAS ANTAS;0000.00.0215;02001.001091/2016-91;ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO;PETROBRAS;;350000;;3;48;O;06/30/16
RESERVA BIOLÓGICA UNIÃO;0000.00.0217;02001.001091/2016-91;ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO;PETROBRAS;300000;;3;;48;O;06/30/16
RESERVA BIOLÓGICA UNIÃO;0000.00.0217;02001.001091/2016-91;ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO;PETROBRAS;;300000;;3;48;O;06/30/16
ESTAÇÃO ECOLÓGICA DE MATA PRETA;0000.00.0261;02001.004292/2015-60;Etapa 2: FPSO Cidade de Itaguaí, Desenvolvimento de Produção no Campo de Lula, Área de Iracema Norte;PETROBRAS;10497192,66;;1;;48;O;06/30/16
ESTAÇÃO ECOLÓGICA DE MATA PRETA;0000.00.0261;02001.004292/2015-60;Etapa 2: FPSO Cidade de Itaguaí, Desenvolvimento de Produção no Campo de Lula, Área de Iracema Norte;PETROBRAS;;10497193;;1;48;O;06/30/16
ESTAÇÃO ECOLÓGICA DA GUANABARA;0000.00.0263;02001.000396/2016-86;ATIVID PROD E ESCOAM PETRÓLEO E GÁS POLO PRÉ-SAL B. SANTOS ETAPA 2;PETROBRAS;817539,03;;2;2;48;O;06/30/16
ESTAÇÃO ECOLÓGICA DA GUANABARA;0000.00.0263;02001.000396/2016-86;ATIVID PROD E ESCOAM PETRÓLEO E GÁS POLO PRÉ-SAL B. SANTOS ETAPA 2;PETROBRAS;1200000;;2;2;48;O;06/30/16
ESTAÇÃO ECOLÓGICA DA GUANABARA;0000.00.0263;02001.004292/2015-60;Etapa 2: FPSO Cidade de Itaguaí, Desenvolvimento de Produção no Campo de Lula, Área de Iracema Norte;PETROBRAS;400000;;5;2;48;O;06/30/16
ESTAÇÃO ECOLÓGICA DA GUANABARA;0000.00.0263;02001.004292/2015-60;Etapa 2: FPSO Cidade de Itaguaí, Desenvolvimento de Produção no Campo de Lula, Área de Iracema Norte;PETROBRAS;;400000;;2;48;O;06/30/16
RESERVA BIOLÓGICA DAS ARAUCÁRIAS;0000.00.0276;02001.001092/2016-36;ATIVID PROD E ESCOAMENTO PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS-ETAPA 2 FPSO SAQUAREMA-LULA CENTRAL;PETROBRAS;14359850,28;;1;;48;O;06/30/16
RESERVA BIOLÓGICA DAS ARAUCÁRIAS;0000.00.0276;02001.001092/2016-36;ATIVID PROD E ESCOAMENTO PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS-ETAPA 2 FPSO SAQUAREMA-LULA CENTRAL;PETROBRAS;;14359850,28;;1;48;O;06/30/16
RESERVA BIOLÓGICA ESTADUAL DA PRAIA DO SUL;0000.33.0728;02001.001091/2016-91;ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO;PETROBRAS;448496,18;;0;;48;O;06/30/16
RESERVA BIOLÓGICA ESTADUAL DA PRAIA DO SUL;0000.33.0728;02001.001092/2016-36;ATIVID PROD E ESCOAMENTO PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS-ETAPA 2 FPSO SAQUAREMA-LULA CENTRAL;PETROBRAS;502594,76;;0;;48;O;06/30/16
RESERVA BIOLÓGICA ESTADUAL DA PRAIA DO SUL;0000.33.0728;02001.004292/2015-60;Etapa 2: FPSO Cidade de Itaguaí, Desenvolvimento de Produção no Campo de Lula, Área de Iracema Norte;PETROBRAS;249344,95;;0;;48;O;06/30/16
RESERVA BIOLÓGICA ESTADUAL DA PRAIA DO SUL;0000.33.0728;02001.004292/2015-60;Etapa 2: FPSO Cidade de Itaguaí, Desenvolvimento de Produção no Campo de Lula, Área de Iracema Norte;PETROBRAS;500000;;0;;48;O;06/30/16
PARQUE ESTADUAL ACARAI;0000.42.0791;02001.003264/2011-00;TERMINAL PORTUÁRIO SANTA CATARINA (TESC);TESC;11875;;0;;48;O;06/30/16
PARQUE ESTADUAL ACARAI;0000.42.0791;02001.003270/2014-00;BR 280 SC - SEGMENTO SÃO FRANCISCO DO SUL - JARAGUÁ DO SUL;EMPRESA DE PLANEJAMENTO E LOGÍSTICA S.A.;;200000;;3;48;O;06/30/16
PARQUE ESTADUAL DA SERRA DO MAR;0000.35.0798;02001.001091/2016-91;ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO;PETROBRAS;298997,45;;0;;48;O;06/30/16
PARQUE ESTADUAL DA SERRA DO MAR;0000.35.0798;02001.001092/2016-36;ATIVID PROD E ESCOAMENTO PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS-ETAPA 2 FPSO SAQUAREMA-LULA CENTRAL;PETROBRAS;335063,17;;0;;48;O;06/30/16
ESTAÇÃO ECOLÓGICA CHAÚAS;0000.35.0817;02001.001091/2016-91;ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO;PETROBRAS;298997,45;;0;;48;O;06/30/16
ESTAÇÃO ECOLÓGICA CHAÚAS;0000.35.0817;02001.001092/2016-36;ATIVID PROD E ESCOAMENTO PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS-ETAPA 2 FPSO SAQUAREMA-LULA CENTRAL;PETROBRAS;335063,17;;0;;48;O;06/30/16
PARQUE ESTADUAL XIXOVÁ-JAPUÍ;0000.35.0833;02001.001091/2016-91;ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO;PETROBRAS;298997,45;;0;;48;O;06/30/16
PARQUE ESTADUAL XIXOVÁ-JAPUÍ;0000.35.0833;02001.001092/2016-36;ATIVID PROD E ESCOAMENTO PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS-ETAPA 2 FPSO SAQUAREMA-LULA CENTRAL;PETROBRAS;335063,17;;0;;48;O;06/30/16
PARQUE ESTADUAL XIXOVÁ-JAPUÍ;0000.35.0833;02001.004997/2013-15;TERMINAL PORTUÁRIO DA BTP;BRASIL TERMINAL PORTUÁRIO S.A;;250000;;2;48;O;06/30/16
PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS;0000.35.0834;02001.001091/2016-91;ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO;PETROBRAS;298997,45;;0;;48;O;06/30/16
PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS;0000.35.0834;02001.001092/2016-36;ATIVID PROD E ESCOAMENTO PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS-ETAPA 2 FPSO SAQUAREMA-LULA CENTRAL;PETROBRAS;335063,17;;0;;48;O;06/30/16
PARQUE ESTADUAL DA ILHA DO CARDOSO;0000.35.0841;02001.001091/2016-91;ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO;PETROBRAS;298997,45;;0;;48;O;06/30/16
PARQUE ESTADUAL DA ILHA DO CARDOSO;0000.35.0841;02001.001092/2016-36;ATIVID PROD E ESCOAMENTO PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS-ETAPA 2 FPSO SAQUAREMA-LULA CENTRAL;PETROBRAS;335063,17;;0;;48;O;06/30/16
PARQUE ESTADUAL DA CAMPINA DO ENCANTADO;0000.35.0854;02001.001091/2016-91;ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO;PETROBRAS;298997,45;;0;;48;O;06/30/16
PARQUE ESTADUAL DA CAMPINA DO ENCANTADO;0000.35.0854;02001.001092/2016-36;ATIVID PROD E ESCOAMENTO PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS-ETAPA 2 FPSO SAQUAREMA-LULA CENTRAL;PETROBRAS;335063,17;;0;;48;O;06/30/16
PARQUE ESTADUAL DE ILHABELA;0000.35.0855;02001.001091/2016-91;ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO;PETROBRAS;298997,45;;0;;48;O;06/30/16
PARQUE ESTADUAL DE ILHABELA;0000.35.0855;02001.001092/2016-36;ATIVID PROD E ESCOAMENTO PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS-ETAPA 2 FPSO SAQUAREMA-LULA CENTRAL;PETROBRAS;335063,17;;0;;48;O;06/30/16
PARQUE ESTADUAL DA ILHA ANCHIETA;0000.35.0856;02001.001091/2016-91;ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO;PETROBRAS;298997,45;;0;;48;O;06/30/16
PARQUE ESTADUAL DA ILHA ANCHIETA;0000.35.0856;02001.001092/2016-36;ATIVID PROD E ESCOAMENTO PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS-ETAPA 2 FPSO SAQUAREMA-LULA CENTRAL;PETROBRAS;335063,17;;0;;48;O;06/30/16
ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS;0000.35.0862;02001.001091/2016-91;ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO;PETROBRAS;298997,45;;0;;48;O;06/30/16
ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS;0000.35.0862;02001.001092/2016-36;ATIVID PROD E ESCOAMENTO PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS-ETAPA 2 FPSO SAQUAREMA-LULA CENTRAL;PETROBRAS;335063,17;;0;;48;O;06/30/16
PARQUE ESTADUAL DA SERRA DOS MARTÍRIOS/ANDORINHAS;0000.15.1021;02001.002029/2014-55;Projeto Ferro Carajás S11D;VALE S.A.;;1350000;;3;48;O;06/30/16
PARQUE ESTADUAL DO UTINGA;0000.15.1022;02001.002029/2014-55;Projeto Ferro Carajás S11D;VALE S.A.;;1750000;;1;48;O;06/30/16
PARQUE ESTADUAL DA SERRA DA TIRIRICA;0000.33.1476;02001.001091/2016-91;ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO;PETROBRAS;448496,18;;0;;48;O;06/30/16
PARQUE ESTADUAL DA SERRA DA TIRIRICA;0000.33.1476;02001.001092/2016-36;ATIVID PROD E ESCOAMENTO PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS-ETAPA 2 FPSO SAQUAREMA-LULA CENTRAL;PETROBRAS;502594,76;;0;;48;O;06/30/16
PARQUE ESTADUAL DA SERRA DA TIRIRICA;0000.33.1476;02001.004292/2015-60;Etapa 2: FPSO Cidade de Itaguaí, Desenvolvimento de Produção no Campo de Lula, Área de Iracema Norte;PETROBRAS;249344,95;;0;;48;O;06/30/16
PARQUE ESTADUAL DA SERRA DA TIRIRICA;0000.33.1476;02001.004292/2015-60;Etapa 2: FPSO Cidade de Itaguaí, Desenvolvimento de Produção no Campo de Lula, Área de Iracema Norte;PETROBRAS;500000;;0;;48;O;06/30/16
PARQUE ESTADUAL DA ILHA GRANDE;0000.33.1477;02001.001091/2016-91;ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO;PETROBRAS;448496,18;;0;;48;O;06/30/16
PARQUE ESTADUAL DA ILHA GRANDE;0000.33.1477;02001.001092/2016-36;ATIVID PROD E ESCOAMENTO PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS-ETAPA 2 FPSO SAQUAREMA-LULA CENTRAL;PETROBRAS;502594,76;;0;;48;O;06/30/16
PARQUE ESTADUAL DA ILHA GRANDE;0000.33.1477;02001.004292/2015-60;Etapa 2: FPSO Cidade de Itaguaí, Desenvolvimento de Produção no Campo de Lula, Área de Iracema Norte;PETROBRAS;249344,95;;0;;48;O;06/30/16
PARQUE ESTADUAL DA ILHA GRANDE;0000.33.1477;02001.004292/2015-60;Etapa 2: FPSO Cidade de Itaguaí, Desenvolvimento de Produção no Campo de Lula, Área de Iracema Norte;PETROBRAS;500000;;0;;48;O;06/30/16
PARQUE ESTADUAL DO DESENGANO;0000.33.1479;02001.001091/2016-91;ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO;PETROBRAS;448496,18;;0;;48;O;06/30/16
PARQUE ESTADUAL DO DESENGANO;0000.33.1479;02001.001092/2016-36;ATIVID PROD E ESCOAMENTO PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS-ETAPA 2 FPSO SAQUAREMA-LULA CENTRAL;PETROBRAS;502594,76;;0;;48;O;06/30/16
PARQUE ESTADUAL DO DESENGANO;0000.33.1479;02001.004292/2015-60;Etapa 2: FPSO Cidade de Itaguaí, Desenvolvimento de Produção no Campo de Lula, Área de Iracema Norte;PETROBRAS;249344,95;;0;;48;O;06/30/16
PARQUE ESTADUAL DO DESENGANO;0000.33.1479;02001.004292/2015-60;Etapa 2: FPSO Cidade de Itaguaí, Desenvolvimento de Produção no Campo de Lula, Área de Iracema Norte;PETROBRAS;500000;;0;;48;O;06/30/16
ESTAÇÃO ECOLÓGICA ESTADUAL DE GUAXINDIBA;0000.33.1481;02001.001091/2016-91;ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO;PETROBRAS;448496,18;;0;;48;O;06/30/16
ESTAÇÃO ECOLÓGICA ESTADUAL DE GUAXINDIBA;0000.33.1481;02001.001092/2016-36;ATIVID PROD E ESCOAMENTO PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS-ETAPA 2 FPSO SAQUAREMA-LULA CENTRAL;PETROBRAS;502594,76;;0;;48;O;06/30/16
ESTAÇÃO ECOLÓGICA ESTADUAL DE GUAXINDIBA;0000.33.1481;02001.004292/2015-60;Etapa 2: FPSO Cidade de Itaguaí, Desenvolvimento de Produção no Campo de Lula, Área de Iracema Norte;PETROBRAS;249344,95;;0;;48;O;06/30/16
ESTAÇÃO ECOLÓGICA ESTADUAL DE GUAXINDIBA;0000.33.1481;02001.004292/2015-60;Etapa 2: FPSO Cidade de Itaguaí, Desenvolvimento de Produção no Campo de Lula, Área de Iracema Norte;PETROBRAS;500000;;0;;48;O;06/30/16
